"","Appointment_Date","Appointment_Count","Weekday","MonthYear","Month","patients","all_patients","ratio_patients"
"212",2018-07-31,8515,"Tuesday","2018-07","07",0,0,0
"213",2018-08-01,7940,"Wednesday","2018-08","08",0,0,0
"214",2018-08-02,7222,"Thursday","2018-08","08",0,0,0
"215",2018-08-03,7978,"Friday","2018-08","08",0,0,0
"216",2018-08-04,226,"Saturday","2018-08","08",0,0,0
"217",2018-08-05,13,"Sunday","2018-08","08",0,0,0
"218",2018-08-06,9084,"Monday","2018-08","08",0,0,0
"219",2018-08-07,8327,"Tuesday","2018-08","08",0,0,0
"220",2018-08-08,7986,"Wednesday","2018-08","08",0,0,0
"221",2018-08-09,7042,"Thursday","2018-08","08",0,0,0
"222",2018-08-10,7732,"Friday","2018-08","08",0,0,0
"223",2018-08-11,117,"Saturday","2018-08","08",0,0,0
"224",2018-08-12,13,"Sunday","2018-08","08",0,0,0
"225",2018-08-13,9046,"Monday","2018-08","08",0,0,0
"226",2018-08-14,8421,"Tuesday","2018-08","08",0,0,0
"227",2018-08-15,8292,"Wednesday","2018-08","08",0,0,0
"228",2018-08-16,7141,"Thursday","2018-08","08",0,0,0
"229",2018-08-17,7939,"Friday","2018-08","08",0,0,0
"230",2018-08-18,195,"Saturday","2018-08","08",0,0,0
"231",2018-08-19,13,"Sunday","2018-08","08",0,0,0
"232",2018-08-20,9087,"Monday","2018-08","08",0,0,0
"233",2018-08-21,8304,"Tuesday","2018-08","08",0,0,0
"234",2018-08-22,8252,"Wednesday","2018-08","08",0,0,0
"235",2018-08-23,6985,"Thursday","2018-08","08",0,0,0
"236",2018-08-24,7695,"Friday","2018-08","08",0,0,0
"237",2018-08-25,109,"Saturday","2018-08","08",0,0,0
"238",2018-08-26,13,"Sunday","2018-08","08",0,0,0
"239",2018-08-27,7,"Monday","2018-08","08",0,0,0
"240",2018-08-28,8909,"Tuesday","2018-08","08",0,0,0
"241",2018-08-29,8460,"Wednesday","2018-08","08",0,0,0
"242",2018-08-30,7202,"Thursday","2018-08","08",0,0,0
"243",2018-08-31,8147,"Friday","2018-08","08",0,0,0
"244",2018-09-01,351,"Saturday","2018-09","09",0,0,0
"245",2018-09-02,13,"Sunday","2018-09","09",0,0,0
"246",2018-09-03,9617,"Monday","2018-09","09",0,0,0
"247",2018-09-04,8939,"Tuesday","2018-09","09",0,0,0
"248",2018-09-05,8739,"Wednesday","2018-09","09",0,0,0
"249",2018-09-06,7265,"Thursday","2018-09","09",0,0,0
"250",2018-09-07,8803,"Friday","2018-09","09",0,0,0
"251",2018-09-08,201,"Saturday","2018-09","09",0,0,0
"252",2018-09-09,13,"Sunday","2018-09","09",0,0,0
"253",2018-09-10,9866,"Monday","2018-09","09",0,0,0
"254",2018-09-11,9260,"Tuesday","2018-09","09",0,0,0
"255",2018-09-12,9038,"Wednesday","2018-09","09",0,0,0
"256",2018-09-13,7366,"Thursday","2018-09","09",0,0,0
"257",2018-09-14,8799,"Friday","2018-09","09",0,0,0
"258",2018-09-15,668,"Saturday","2018-09","09",0,0,0
"259",2018-09-16,4,"Sunday","2018-09","09",0,0,0
"260",2018-09-17,10354,"Monday","2018-09","09",0,0,0
"261",2018-09-18,9743,"Tuesday","2018-09","09",0,0,0
"262",2018-09-19,8071,"Wednesday","2018-09","09",0,0,0
"263",2018-09-20,7389,"Thursday","2018-09","09",0,0,0
"264",2018-09-21,9104,"Friday","2018-09","09",0,0,0
"265",2018-09-22,608,"Saturday","2018-09","09",0,0,0
"266",2018-09-23,13,"Sunday","2018-09","09",0,0,0
"267",2018-09-24,10562,"Monday","2018-09","09",0,0,0
"268",2018-09-25,10498,"Tuesday","2018-09","09",0,0,0
"269",2018-09-26,10299,"Wednesday","2018-09","09",0,0,0
"270",2018-09-27,8193,"Thursday","2018-09","09",0,0,0
"271",2018-09-28,9172,"Friday","2018-09","09",0,0,0
"272",2018-09-29,2711,"Saturday","2018-09","09",0,0,0
"273",2018-09-30,2,"Sunday","2018-09","09",0,0,0
"274",2018-10-01,11457,"Monday","2018-10","10",0,0,0
"275",2018-10-02,10398,"Tuesday","2018-10","10",0,0,0
"276",2018-10-03,10156,"Wednesday","2018-10","10",0,0,0
"277",2018-10-04,8445,"Thursday","2018-10","10",0,0,0
"278",2018-10-05,9822,"Friday","2018-10","10",0,0,0
"279",2018-10-06,2183,"Saturday","2018-10","10",0,0,0
"280",2018-10-07,7,"Sunday","2018-10","10",0,0,0
"281",2018-10-08,11184,"Monday","2018-10","10",0,0,0
"282",2018-10-09,10128,"Tuesday","2018-10","10",0,0,0
"283",2018-10-10,10495,"Wednesday","2018-10","10",0,0,0
"284",2018-10-11,7812,"Thursday","2018-10","10",0,0,0
"285",2018-10-12,10144,"Friday","2018-10","10",0,0,0
"286",2018-10-13,1397,"Saturday","2018-10","10",0,0,0
"287",2018-10-14,101,"Sunday","2018-10","10",0,0,0
"288",2018-10-15,11603,"Monday","2018-10","10",0,0,0
"289",2018-10-16,10406,"Tuesday","2018-10","10",0,0,0
"290",2018-10-17,8264,"Wednesday","2018-10","10",0,0,0
"291",2018-10-18,8151,"Thursday","2018-10","10",0,0,0
"292",2018-10-19,9753,"Friday","2018-10","10",0,0,0
"293",2018-10-20,1041,"Saturday","2018-10","10",0,0,0
"294",2018-10-21,13,"Sunday","2018-10","10",0,0,0
"295",2018-10-22,10156,"Monday","2018-10","10",0,0,0
"296",2018-10-23,9640,"Tuesday","2018-10","10",0,0,0
"297",2018-10-24,9750,"Wednesday","2018-10","10",0,0,0
"298",2018-10-25,8140,"Thursday","2018-10","10",0,0,0
"299",2018-10-26,8964,"Friday","2018-10","10",0,0,0
"300",2018-10-27,773,"Saturday","2018-10","10",0,0,0
"301",2018-10-28,13,"Sunday","2018-10","10",0,0,0
"302",2018-10-29,10355,"Monday","2018-10","10",0,0,0
"303",2018-10-30,9767,"Tuesday","2018-10","10",0,0,0
"304",2018-10-31,9228,"Wednesday","2018-10","10",0,0,0
"305",2018-11-01,8406,"Thursday","2018-11","11",0,0,0
"306",2018-11-02,9275,"Friday","2018-11","11",0,0,0
"307",2018-11-03,1293,"Saturday","2018-11","11",0,0,0
"308",2018-11-04,13,"Sunday","2018-11","11",0,0,0
"309",2018-11-05,11461,"Monday","2018-11","11",0,0,0
"310",2018-11-06,10673,"Tuesday","2018-11","11",0,0,0
"311",2018-11-07,9970,"Wednesday","2018-11","11",0,0,0
"312",2018-11-08,9006,"Thursday","2018-11","11",0,0,0
"313",2018-11-09,9889,"Friday","2018-11","11",0,0,0
"314",2018-11-10,976,"Saturday","2018-11","11",0,0,0
"315",2018-11-11,5,"Sunday","2018-11","11",0,0,0
"316",2018-11-12,11495,"Monday","2018-11","11",0,0,0
"317",2018-11-13,9992,"Tuesday","2018-11","11",0,0,0
"318",2018-11-14,7508,"Wednesday","2018-11","11",0,0,0
"319",2018-11-15,8774,"Thursday","2018-11","11",0,0,0
"320",2018-11-16,10105,"Friday","2018-11","11",0,0,0
"321",2018-11-17,1103,"Saturday","2018-11","11",0,0,0
"322",2018-11-18,4,"Sunday","2018-11","11",0,0,0
"323",2018-11-19,11087,"Monday","2018-11","11",0,0,0
"324",2018-11-20,10046,"Tuesday","2018-11","11",0,0,0
"325",2018-11-21,9926,"Wednesday","2018-11","11",0,0,0
"326",2018-11-22,8230,"Thursday","2018-11","11",0,0,0
"327",2018-11-23,9521,"Friday","2018-11","11",0,0,0
"328",2018-11-24,266,"Saturday","2018-11","11",0,0,0
"329",2018-11-25,13,"Sunday","2018-11","11",0,0,0
"330",2018-11-26,11060,"Monday","2018-11","11",0,0,0
"331",2018-11-27,9767,"Tuesday","2018-11","11",0,0,0
"332",2018-11-28,9511,"Wednesday","2018-11","11",0,0,0
"333",2018-11-29,7848,"Thursday","2018-11","11",0,0,0
"334",2018-11-30,9165,"Friday","2018-11","11",0,0,0
"335",2018-12-01,507,"Saturday","2018-12","12",0,0,0
"336",2018-12-02,29,"Sunday","2018-12","12",0,0,0
"337",2018-12-03,10443,"Monday","2018-12","12",0,0,0
"338",2018-12-04,9261,"Tuesday","2018-12","12",0,0,0
"339",2018-12-05,9193,"Wednesday","2018-12","12",0,0,0
"340",2018-12-06,7904,"Thursday","2018-12","12",0,0,0
"341",2018-12-07,9113,"Friday","2018-12","12",0,0,0
"342",2018-12-08,254,"Saturday","2018-12","12",0,0,0
"343",2018-12-09,3,"Sunday","2018-12","12",0,0,0
"344",2018-12-10,10836,"Monday","2018-12","12",0,0,0
"345",2018-12-11,9648,"Tuesday","2018-12","12",0,0,0
"346",2018-12-12,9255,"Wednesday","2018-12","12",0,0,0
"347",2018-12-13,7623,"Thursday","2018-12","12",0,0,0
"348",2018-12-14,9106,"Friday","2018-12","12",0,0,0
"349",2018-12-15,265,"Saturday","2018-12","12",0,0,0
"350",2018-12-16,13,"Sunday","2018-12","12",0,0,0
"351",2018-12-17,10390,"Monday","2018-12","12",0,0,0
"352",2018-12-18,9197,"Tuesday","2018-12","12",0,0,0
"353",2018-12-19,9083,"Wednesday","2018-12","12",0,0,0
"354",2018-12-20,7862,"Thursday","2018-12","12",0,0,0
"355",2018-12-21,8446,"Friday","2018-12","12",0,0,0
"356",2018-12-22,97,"Saturday","2018-12","12",0,0,0
"357",2018-12-23,13,"Sunday","2018-12","12",0,0,0
"358",2018-12-24,6253,"Monday","2018-12","12",0,0,0
"359",2018-12-25,4,"Tuesday","2018-12","12",0,0,0
"360",2018-12-26,4,"Wednesday","2018-12","12",0,0,0
"361",2018-12-27,6575,"Thursday","2018-12","12",0,0,0
"362",2018-12-28,7507,"Friday","2018-12","12",0,0,0
"363",2018-12-29,95,"Saturday","2018-12","12",0,0,0
"364",2018-12-30,13,"Sunday","2018-12","12",0,0,0
"365",2018-12-31,7758,"Monday","2018-12","12",0,0,0
"366",2019-01-01,79,"Tuesday","2019-01","01",0,0,0
"367",2019-01-02,8801,"Wednesday","2019-01","01",0,0,0
"368",2019-01-03,7772,"Thursday","2019-01","01",0,0,0
"369",2019-01-04,9019,"Friday","2019-01","01",0,0,0
"370",2019-01-05,231,"Saturday","2019-01","01",0,0,0
"371",2019-01-06,13,"Sunday","2019-01","01",0,0,0
"372",2019-01-07,10508,"Monday","2019-01","01",0,0,0
"373",2019-01-08,9955,"Tuesday","2019-01","01",0,0,0
"374",2019-01-09,9799,"Wednesday","2019-01","01",0,0,0
"375",2019-01-10,8323,"Thursday","2019-01","01",0,0,0
