COMMISSIONER_ORGANISATION_CODE,STPCD,REGIONAL_LOCAL_OFFICE_CODE,REGION_CODE,Appointment_Month,Included Practices,Open Practices,Patients registered at included practices,Patients registered at open practices
00T,E54000007,E39000037,E40000010,01MAR2019,44,49,285138,312490
00T,E54000007,E39000037,E40000010,01APR2019,45,49,292035,312873
00T,E54000007,E39000037,E40000010,01MAY2019,47,49,302988,313173
00T,E54000007,E39000037,E40000010,01JUN2019,48,49,310042,313518
00T,E54000007,E39000037,E40000010,01JUL2019,48,49,310408,313893
00T,E54000007,E39000037,E40000010,01AUG2019,48,49,310831,314312
00V,E54000007,E39000037,E40000010,01MAR2018,20,30,129231,203926
00V,E54000007,E39000037,E40000010,01APR2018,20,30,129267,203952
00V,E54000007,E39000037,E40000010,01MAY2018,20,30,129375,204055
00V,E54000007,E39000037,E40000010,01JUN2018,20,30,129499,204286
00V,E54000007,E39000037,E40000010,01JUL2018,20,30,129690,204561
00V,E54000007,E39000037,E40000010,01AUG2018,20,28,129890,204792
00V,E54000007,E39000037,E40000010,01SEP2018,20,28,130102,205095
00V,E54000007,E39000037,E40000010,01OCT2018,20,28,130162,205149
00V,E54000007,E39000037,E40000010,01NOV2018,20,28,130211,205206
00V,E54000007,E39000037,E40000010,01DEC2018,20,26,143943,205347
00V,E54000007,E39000037,E40000010,01JAN2019,20,26,143937,205329
00V,E54000007,E39000037,E40000010,01FEB2019,20,26,144106,205442
00V,E54000007,E39000037,E40000010,01MAR2019,20,26,144255,205583
00V,E54000007,E39000037,E40000010,01APR2019,20,26,144314,205761
00V,E54000007,E39000037,E40000010,01MAY2019,13,26,104685,205950
00V,E54000007,E39000037,E40000010,01JUN2019,3,26,20327,206035
00V,E54000007,E39000037,E40000010,01JUL2019,3,26,20394,206183
00V,E54000007,E39000037,E40000010,01AUG2019,3,26,20404,206420
00X,E54000048,E39000040,E40000010,01MAR2018,26,30,156313,183396
00X,E54000048,E39000040,E40000010,01APR2018,26,30,156290,183432
00X,E54000048,E39000040,E40000010,01MAY2018,26,30,156397,183567
00X,E54000048,E39000040,E40000010,01JUN2018,26,30,156443,183693
00X,E54000048,E39000040,E40000010,01JUL2018,26,30,156594,183899
00X,E54000048,E39000040,E40000010,01AUG2018,26,30,156759,184120
00X,E54000048,E39000040,E40000010,01SEP2018,26,30,156923,184308
00X,E54000048,E39000040,E40000010,01OCT2018,26,30,156895,184339
00X,E54000048,E39000040,E40000010,01NOV2018,26,30,156874,184408
00X,E54000048,E39000040,E40000010,01DEC2018,26,30,156950,184515
00X,E54000048,E39000040,E40000010,01JAN2019,26,30,157033,184600
00X,E54000048,E39000040,E40000010,01FEB2019,27,30,169755,184869
00X,E54000048,E39000040,E40000010,01MAR2019,27,30,169910,185085
00X,E54000048,E39000040,E40000010,01APR2019,27,30,169960,185165
00X,E54000048,E39000040,E40000010,01MAY2019,27,30,169969,185192
00X,E54000048,E39000040,E40000010,01JUN2019,27,30,170158,185383
00X,E54000048,E39000040,E40000010,01JUL2019,27,30,170303,185551
00X,E54000048,E39000040,E40000010,01AUG2019,27,30,170482,185784
00Y,E54000007,E39000037,E40000010,01MAR2018,38,44,204863,255073
00Y,E54000007,E39000037,E40000010,01APR2018,38,44,205037,255199
00Y,E54000007,E39000037,E40000010,01MAY2018,38,44,205298,255453
00Y,E54000007,E39000037,E40000010,01JUN2018,39,44,219708,255586
00Y,E54000007,E39000037,E40000010,01JUL2018,39,44,219935,255831
00Y,E54000007,E39000037,E40000010,01AUG2018,38,44,215194,256146
00Y,E54000007,E39000037,E40000010,01SEP2018,38,43,220515,256452
00Y,E54000007,E39000037,E40000010,01OCT2018,38,43,220704,256632
00Y,E54000007,E39000037,E40000010,01NOV2018,38,43,221018,256924
00Y,E54000007,E39000037,E40000010,01DEC2018,38,43,221294,257232
00Y,E54000007,E39000037,E40000010,01JAN2019,40,43,237050,257506
00Y,E54000007,E39000037,E40000010,01FEB2019,41,43,241860,257797
00Y,E54000007,E39000037,E40000010,01MAR2019,41,43,242110,258027
